id,bowler,wicket,stats,batting_team,bowling_team,date,venue,winner,toss
1st Match (N),Andre Russell,1,"['0', '0', '1', '5', '7', '9.50', '38', '0', '4']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Sunil Narine,0,"['0', '0', '0', '0', '10', '3.75', '15', '0', '4']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Varun Chakravarthy,1,"['0', '1', '1', '1', '11', '5.75', '23', '0', '4']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Shivam Mavi,0,"['1', '1', '2', '3', '12', '8.75', '35', '0', '4']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Umesh Yadav,2,"['1', '2', '1', '1', '15', '5.00', '20', '0', '4']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Ravindra Jadeja,0,"['0', '0', '1', '1', '8', '6.25', '25', '0', '4']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Shivam Dube,0,"['0', '0', '0', '2', '1', '11.00', '11', '0', '1']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Dwayne Bravo,3,"['0', '0', '0', '2', '11', '5.00', '20', '0', '4']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Mitchell Santner,1,"['0', '0', '1', '1', '5', '7.75', '31', '0', '4']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Adam Milne,0,"['0', '0', '1', '2', '9', '7.60', '19', '0', '2.3']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
1st Match (N),Tushar Deshpande,0,"['0', '0', '0', '4', '9', '7.66', '23', '0', '3']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first"
