id,bowler,wicket,stats,batting_team,bowling_team,date,venue,winner,toss
2nd Match (D/N),Lalit Yadav,0,"['0', '0', '0', '1', '2', '7.50', '15', '0', '2']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Kuldeep Yadav,3,"['0', '0', '0', '0', '8', '4.50', '18', '0', '4']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Kamlesh Nagarkoti,0,"['0', '1', '1', '5', '4', '14.50', '29', '0', '2']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Axar Patel,0,"['0', '0', '1', '4', '3', '10.00', '40', '0', '4']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Khaleel Ahmed,2,"['0', '0', '0', '5', '13', '6.75', '27', '0', '4']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Shardul Thakur,0,"['0', '1', '4', '3', '8', '11.75', '47', '0', '4']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Tymal Mills,1,"['0', '2', '1', '2', '6', '8.66', '26', '0', '3']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Murugan Ashwin,2,"['0', '0', '0', '1', '14', '3.50', '14', '0', '4']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Basil Thampi,3,"['0', '3', '2', '2', '11', '8.75', '35', '0', '4']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Jasprit Bumrah,0,"['0', '0', '1', '7', '4', '12.90', '43', '0', '3.2']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
2nd Match (D/N),Daniel Sams,0,"['0', '2', '3', '6', '4', '14.25', '57', '0', '4']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first"
