id,bowler,wicket,stats,batting_team,bowling_team,date,venue,winner,toss
3rd Match (N),Liam Livingstone,0,"['0', '1', '1', '0', '1', '14.00', '14', '0', '1']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Harpreet Brar,0,"['0', '1', '4', '0', '5', '12.66', '38', '0', '3']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Rahul Chahar,1,"['0', '1', '0', '0', '8', '5.50', '22', '0', '4']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Odean Smith,0,"['0', '1', '4', '5', '9', '13.00', '52', '0', '4']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Arshdeep Singh,1,"['0', '3', '2', '0', '11', '7.75', '31', '0', '4']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Sandeep Sharma,0,"['0', '0', '2', '4', '10', '9.25', '37', '0', '4']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Harshal Patel,1,"['0', '5', '2', '1', '10', '9.00', '36', '0', '4']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Wanindu Hasaranga,1,"['0', '1', '4', '1', '10', '10.00', '40', '0', '4']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Akash Deep,1,"['0', '0', '3', '2', '4', '12.66', '38', '0', '3']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Shahbaz Ahmed,0,"['0', '0', '0', '1', '3', '6.00', '6', '0', '1']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),Mohammed Siraj,2,"['0', '6', '4', '3', '9', '14.75', '59', '0', '4']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
3rd Match (N),David Willey,0,"['0', '0', '1', '3', '5', '9.33', '28', '0', '3']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first"
