id,bowler,wicket,stats,batting_team,bowling_team,date,venue,winner,toss
4th Match (N),Rashid Khan,1,"['0', '0', '2', '0', '8', '6.75', '27', '0', '4']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Hardik Pandya,0,"['0', '0', '1', '6', '10', '9.25', '37', '0', '4']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Lockie Ferguson,0,"['0', '1', '1', '1', '11', '6.00', '24', '0', '4']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Varun Aaron,2,"['0', '3', '1', '6', '5', '11.25', '45', '0', '4']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Mohammed Shami,3,"['0', '0', '0', '4', '13', '6.25', '25', '0', '4']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Deepak Hooda,1,"['0', '0', '2', '2', '3', '10.33', '31', '0', '3']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Krunal Pandya,1,"['0', '0', '0', '1', '12', '4.25', '17', '0', '4']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Ravi Bishnoi,0,"['0', '2', '2', '3', '11', '8.50', '34', '0', '4']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Mohsin Khan,0,"['0', '0', '0', '3', '4', '9.00', '18', '0', '2']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Avesh Khan,1,"['0', '0', '1', '5', '10', '9.00', '33', '0', '3.4']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
4th Match (N),Dushmantha Chameera,2,"['0', '1', '0', '4', '11', '7.33', '22', '0', '3']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first"
