id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
2nd Match (D/N),Rohit Sharma (c),Kuldeep Yadav,"['32', '42', '4', '2', '128.12']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",41
2nd Match (D/N),Ishan Kishan †,Kuldeep Yadav,"['48', '99', '11', '2', '168.75']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",81
2nd Match (D/N),Anmolpreet Singh ,Ahmed,"['9', '10', '0', '0', '88.88']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",8
2nd Match (D/N),Tilak Varma ,Kuldeep Yadav,"['15', '18', '3', '0', '146.66']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",22
2nd Match (D/N),Kieron Pollard ,Ahmed,"['6', '8', '0', '0', '50.00']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",3
2nd Match (D/N),Tim David , - ,"['8', '17', '0', '1', '150.00']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",12
2nd Match (D/N),Daniel Sams , - ,"['2', '6', '0', '1', '350.00']",Mumbai Indians,Delhi Capitals, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",7
2nd Match (D/N),Prithvi Shaw ,Basil Thampi,"['24', '53', '4', '2', '158.33']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",38
2nd Match (D/N),Tim Seifert ,Ashwin,"['14', '19', '4', '0', '150.00']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",21
2nd Match (D/N),Mandeep Singh ,Ashwin,"['2', '3', '0', '0', '0.00']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",0
2nd Match (D/N),Rishabh Pant (c)†,Mills,"['2', '5', '0', '0', '50.00']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",1
2nd Match (D/N),Lalit Yadav ,Basil Thampi,"['38', '77', '4', '2', '126.31']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",48
2nd Match (D/N),Rovman Powell ,Basil Thampi,"['2', '3', '0', '0', '0.00']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",0
2nd Match (D/N),Shardul Thakur , - ,"['11', '19', '4', '0', '200.00']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",22
2nd Match (D/N),Axar Patel , - ,"['17', '31', '2', '3', '223.52']",Delhi Capitals,Mumbai Indians, March 27 2022, Brabourne,DC won by 4 wickets (with 10 balls remaining),"Delhi Capitals, elected to field first",38
