id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
3rd Match (N),Faf du Plessis (c),Arshdeep Singh,"['57', '82', '3', '7', '154.38']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",88
3rd Match (N),Anuj Rawat ,Chahar,"['20', '37', '2', '1', '105.00']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",21
3rd Match (N),Virat Kohli , - ,"['29', '60', '1', '2', '141.37']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",41
3rd Match (N),Dinesh Karthik †, - ,"['14', '16', '3', '3', '228.57']",Royal Challengers Bangalore,Punjab Kings, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",32
3rd Match (N),Mayank Agarwal (c),Hasaranga,"['24', '42', '2', '2', '133.33']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",32
3rd Match (N),Shikhar Dhawan ,Patel,"['29', '63', '5', '1', '148.27']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",43
3rd Match (N),Bhanuka Rajapaksa †,Mohammed Siraj,"['22', '34', '2', '4', '195.45']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",43
3rd Match (N),Liam Livingstone ,Akash Deep,"['10', '26', '0', '2', '190.00']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",19
3rd Match (N),Raj Bawa ,Mohammed Siraj,"['1', '3', '0', '0', '0.00']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",0
3rd Match (N),M Shahrukh Khan , - ,"['20', '37', '1', '2', '120.00']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",24
3rd Match (N),Odean Smith , - ,"['8', '24', '1', '3', '312.50']",Punjab Kings,Royal Challengers Bangalore, March 27 2022, DY Patil,PBKS won by 5 wickets (with 6 balls remaining),"Punjab Kings, elected to field first",25
