id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
4th Match (N),KL Rahul (c),Mohammed Shami,"['1', '3', '0', '0', '0.00']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",0
4th Match (N),Quinton de Kock †,Mohammed Shami,"['9', '17', '1', '0', '77.77']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",7
4th Match (N),Evin Lewis ,Aaron,"['9', '21', '2', '0', '111.11']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",10
4th Match (N),Manish Pandey ,Mohammed Shami,"['5', '14', '1', '0', '120.00']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",6
4th Match (N),Deepak Hooda ,Rashid Khan,"['41', '62', '6', '2', '134.14']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",55
4th Match (N),Ayush Badoni ,Aaron,"['41', '78', '4', '3', '131.70']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",54
4th Match (N),Krunal Pandya , - ,"['13', '26', '3', '0', '161.53']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",21
4th Match (N),Dushmantha Chameera , - ,"['1', '2', '0', '0', '100.00']",Lucknow Super Giants,Gujarat Titans, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",1
4th Match (N),Shubman Gill ,Chameera,"['3', '4', '0', '0', '0.00']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",0
4th Match (N),Matthew Wade †,Hooda,"['29', '60', '4', '0', '103.44']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",30
4th Match (N),Vijay Shankar ,Chameera,"['6', '10', '0', '0', '66.66']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",4
4th Match (N),Hardik Pandya (c),Pandya,"['28', '40', '5', '1', '117.85']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",33
4th Match (N),David Miller ,Avesh Khan,"['21', '38', '1', '2', '142.85']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",30
4th Match (N),Rahul Tewatia , - ,"['24', '43', '5', '2', '166.66']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",40
4th Match (N),Abhinav Manohar , - ,"['7', '14', '3', '0', '214.28']",Gujarat Titans,Lucknow Super Giants, March 28 2022, Wankhede,GT won by 5 wickets (with 2 balls remaining),"Gujarat Titans, elected to field first",15
